Group,Variable,Value,,,,,,,,,,,
December,1925,0.06,,,,,,,,,,,
January,1926,0.21,,,,,,,,,,,
February,1926,0.03,,,,,,,,,,,
March,1926,0.11,,,,,,,,,,,
April,1926,-0.12,,,,,,,,,,,
May,1926,-0.23,,,,,,,,,,,
June,1926,-0.26,,,,,,,,,,,
July,1926,-0.27,,,,,,,,,,,
August,1926,-0.13,,,,,,,,,,,
September,1926,-0.14,,,,,,,,,,,
October,1926,-0.11,,,,,,,,,,,
November,1926,-0.06,,,,,,,,,,,
December,1926,-0.29,,,,,,,,,,,
January,1927,-0.27,,,,,,,,,,,
February,1927,-0.18,,,,,,,,,,,
March,1927,-0.38,,,,,,,,,,,
April,1927,-0.31,,,,,,,,,,,
May,1927,-0.25,,,,,,,,,,,
June,1927,-0.27,,,,,,,,,,,
July,1927,-0.18,,,,,,,,,,,
August,1927,-0.24,,,,,,,,,,,
September,1927,-0.13,,,,,,,,,,,
October,1927,-0.01,,,,,,,,,,,
November,1927,-0.06,,,,,,,,,,,
December,1927,-0.33,,,,,,,,,,,
January,1928,-0.02,,,,,,,,,,,
February,1928,-0.09,,,,,,,,,,,
March,1928,-0.25,,,,,,,,,,,
April,1928,-0.27,,,,,,,,,,,
May,1928,-0.29,,,,,,,,,,,
June,1928,-0.38,,,,,,,,,,,
July,1928,-0.19,,,,,,,,,,,
August,1928,-0.22,,,,,,,,,,,
September,1928,-0.21,,,,,,,,,,,
October,1928,-0.19,,,,,,,,,,,
November,1928,-0.09,,,,,,,,,,,
December,1928,-0.16,,,,,,,,,,,
January,1929,-0.45,,,,,,,,,,,
February,1929,-0.58,,,,,,,,,,,
March,1929,-0.33,,,,,,,,,,,
April,1929,-0.4,,,,,,,,,,,
May,1929,-0.38,,,,,,,,,,,
June,1929,-0.43,,,,,,,,,,,
July,1929,-0.36,,,,,,,,,,,
August,1929,-0.32,,,,,,,,,,,
September,1929,-0.25,,,,,,,,,,,
October,1929,-0.14,,,,,,,,,,,
November,1929,-0.11,,,,,,,,,,,
December,1929,-0.54,,,,,,,,,,,
January,1930,-0.29,,,,,,,,,,,
February,1930,-0.27,,,,,,,,,,,
March,1930,-0.11,,,,,,,,,,,
April,1930,-0.24,,,,,,,,,,,
May,1930,-0.24,,,,,,,,,,,
June,1930,-0.21,,,,,,,,,,,
July,1930,-0.21,,,,,,,,,,,
August,1930,-0.15,,,,,,,,,,,
September,1930,-0.15,,,,,,,,,,,
October,1930,-0.11,,,,,,,,,,,
November,1930,0.18,,,,,,,,,,,
December,1930,-0.05,,,,,,,,,,,
January,1931,-0.1,,,,,,,,,,,
February,1931,-0.21,,,,,,,,,,,
March,1931,-0.1,,,,,,,,,,,
April,1931,-0.22,,,,,,,,,,,
May,1931,-0.19,,,,,,,,,,,
June,1931,-0.08,,,,,,,,,,,
July,1931,-0.04,,,,,,,,,,,
August,1931,-0.03,,,,,,,,,,,
September,1931,-0.07,,,,,,,,,,,
October,1931,0.05,,,,,,,,,,,
November,1931,-0.05,,,,,,,,,,,
December,1931,-0.05,,,,,,,,,,,
January,1932,0.15,,,,,,,,,,,
February,1932,-0.17,,,,,,,,,,,
March,1932,-0.18,,,,,,,,,,,
April,1932,-0.05,,,,,,,,,,,
May,1932,-0.17,,,,,,,,,,,
June,1932,-0.29,,,,,,,,,,,
July,1932,-0.25,,,,,,,,,,,
August,1932,-0.21,,,,,,,,,,,
September,1932,-0.1,,,,,,,,,,,
October,1932,-0.09,,,,,,,,,,,
November,1932,-0.27,,,,,,,,,,,
December,1932,-0.26,,,,,,,,,,,
January,1933,-0.23,,,,,,,,,,,
February,1933,-0.29,,,,,,,,,,,
March,1933,-0.29,,,,,,,,,,,
April,1933,-0.25,,,,,,,,,,,
May,1933,-0.29,,,,,,,,,,,
June,1933,-0.34,,,,,,,,,,,
July,1933,-0.21,,,,,,,,,,,
August,1933,-0.23,,,,,,,,,,,
September,1933,-0.29,,,,,,,,,,,
October,1933,-0.25,,,,,,,,,,,
November,1933,-0.3,,,,,,,,,,,
December,1933,-0.44,,,,,,,,,,,
January,1934,-0.21,,,,,,,,,,,
February,1934,-0.03,,,,,,,,,,,
March,1934,-0.29,,,,,,,,,,,
April,1934,-0.31,,,,,,,,,,,
May,1934,-0.1,,,,,,,,,,,
June,1934,-0.15,,,,,,,,,,,
July,1934,-0.11,,,,,,,,,,,
August,1934,-0.12,,,,,,,,,,,
September,1934,-0.16,,,,,,,,,,,
October,1934,-0.06,,,,,,,,,,,
November,1934,0.04,,,,,,,,,,,
December,1934,-0.02,,,,,,,,,,,
January,1935,-0.33,,,,,,,,,,,
February,1935,0.14,,,,,,,,,,,
March,1935,-0.14,,,,,,,,,,,
April,1935,-0.36,,,,,,,,,,,
May,1935,-0.29,,,,,,,,,,,
June,1935,-0.27,,,,,,,,,,,
July,1935,-0.22,,,,,,,,,,,
August,1935,-0.22,,,,,,,,,,,
September,1935,-0.21,,,,,,,,,,,
October,1935,-0.05,,,,,,,,,,,
November,1935,-0.26,,,,,,,,,,,
December,1935,-0.17,,,,,,,,,,,
January,1936,-0.28,,,,,,,,,,,
February,1936,-0.38,,,,,,,,,,,
March,1936,-0.21,,,,,,,,,,,
April,1936,-0.2,,,,,,,,,,,
May,1936,-0.17,,,,,,,,,,,
June,1936,-0.22,,,,,,,,,,,
July,1936,-0.1,,,,,,,,,,,
August,1936,-0.13,,,,,,,,,,,
September,1936,-0.09,,,,,,,,,,,
October,1936,-0.03,,,,,,,,,,,
November,1936,0.01,,,,,,,,,,,
December,1936,-0.01,,,,,,,,,,,
January,1937,-0.07,,,,,,,,,,,
February,1937,0.03,,,,,,,,,,,
March,1937,-0.21,,,,,,,,,,,
April,1937,-0.16,,,,,,,,,,,
May,1937,-0.05,,,,,,,,,,,
June,1937,-0.05,,,,,,,,,,,
July,1937,-0.04,,,,,,,,,,,
August,1937,0.02,,,,,,,,,,,
September,1937,0.09,,,,,,,,,,,
October,1937,0.09,,,,,,,,,,,
November,1937,0.08,,,,,,,,,,,
December,1937,-0.07,,,,,,,,,,,
January,1938,0.08,,,,,,,,,,,
February,1938,0.03,,,,,,,,,,,
March,1938,0.09,,,,,,,,,,,
April,1938,0.06,,,,,,,,,,,
May,1938,-0.1,,,,,,,,,,,
June,1938,-0.17,,,,,,,,,,,
July,1938,-0.09,,,,,,,,,,,
August,1938,-0.05,,,,,,,,,,,
September,1938,0,,,,,,,,,,,
October,1938,0.15,,,,,,,,,,,
November,1938,0.08,,,,,,,,,,,
December,1938,-0.12,,,,,,,,,,,
January,1939,-0.05,,,,,,,,,,,
February,1939,-0.06,,,,,,,,,,,
March,1939,-0.17,,,,,,,,,,,
April,1939,-0.09,,,,,,,,,,,
May,1939,-0.04,,,,,,,,,,,
June,1939,-0.07,,,,,,,,,,,
July,1939,-0.06,,,,,,,,,,,
August,1939,-0.06,,,,,,,,,,,
September,1939,-0.07,,,,,,,,,,,
October,1939,-0.03,,,,,,,,,,,
November,1939,0.07,,,,,,,,,,,
December,1939,0.44,,,,,,,,,,,
January,1940,0,,,,,,,,,,,
February,1940,0.08,,,,,,,,,,,
March,1940,0.09,,,,,,,,,,,
April,1940,0.18,,,,,,,,,,,
May,1940,0.11,,,,,,,,,,,
June,1940,0.12,,,,,,,,,,,
July,1940,0.12,,,,,,,,,,,
August,1940,0.07,,,,,,,,,,,
September,1940,0.15,,,,,,,,,,,
October,1940,0.12,,,,,,,,,,,
November,1940,0.17,,,,,,,,,,,
December,1940,0.32,,,,,,,,,,,
January,1941,0.18,,,,,,,,,,,
February,1941,0.31,,,,,,,,,,,
March,1941,0.1,,,,,,,,,,,
April,1941,0.16,,,,,,,,,,,
May,1941,0.17,,,,,,,,,,,
June,1941,0.13,,,,,,,,,,,
July,1941,0.22,,,,,,,,,,,
August,1941,0.15,,,,,,,,,,,
September,1941,0.02,,,,,,,,,,,
October,1941,0.35,,,,,,,,,,,
November,1941,0.23,,,,,,,,,,,
December,1941,0.22,,,,,,,,,,,
January,1942,0.3,,,,,,,,,,,
February,1942,0.03,,,,,,,,,,,
March,1942,0.05,,,,,,,,,,,
April,1942,0.1,,,,,,,,,,,
May,1942,0.11,,,,,,,,,,,
June,1942,0.05,,,,,,,,,,,
July,1942,0.01,,,,,,,,,,,
August,1942,-0.03,,,,,,,,,,,
September,1942,-0.03,,,,,,,,,,,
October,1942,0.02,,,,,,,,,,,
November,1942,0.1,,,,,,,,,,,
December,1942,0.13,,,,,,,,,,,
January,1943,-0.01,,,,,,,,,,,
February,1943,0.17,,,,,,,,,,,
March,1943,-0.03,,,,,,,,,,,
April,1943,0.11,,,,,,,,,,,
May,1943,0.07,,,,,,,,,,,
June,1943,-0.05,,,,,,,,,,,
July,1943,0.08,,,,,,,,,,,
August,1943,0.01,,,,,,,,,,,
September,1943,0.05,,,,,,,,,,,
October,1943,0.23,,,,,,,,,,,
November,1943,0.2,,,,,,,,,,,
December,1943,0.24,,,,,,,,,,,
January,1944,0.36,,,,,,,,,,,
February,1944,0.24,,,,,,,,,,,
March,1944,0.26,,,,,,,,,,,
April,1944,0.19,,,,,,,,,,,
May,1944,0.18,,,,,,,,,,,
June,1944,0.16,,,,,,,,,,,
July,1944,0.18,,,,,,,,,,,
August,1944,0.18,,,,,,,,,,,
September,1944,0.28,,,,,,,,,,,
October,1944,0.26,,,,,,,,,,,
November,1944,0.11,,,,,,,,,,,
December,1944,0.04,,,,,,,,,,,
January,1945,0.1,,,,,,,,,,,
February,1945,0,,,,,,,,,,,
March,1945,0.06,,,,,,,,,,,
April,1945,0.19,,,,,,,,,,,
May,1945,0.05,,,,,,,,,,,
June,1945,0,,,,,,,,,,,
July,1945,0.03,,,,,,,,,,,
August,1945,0.26,,,,,,,,,,,
September,1945,0.2,,,,,,,,,,,
October,1945,0.18,,,,,,,,,,,
November,1945,0.07,,,,,,,,,,,
December,1945,-0.07,,,,,,,,,,,
January,1946,0.15,,,,,,,,,,,
February,1946,0.02,,,,,,,,,,,
March,1946,0.01,,,,,,,,,,,
April,1946,0.05,,,,,,,,,,,
May,1946,-0.07,,,,,,,,,,,
June,1946,-0.21,,,,,,,,,,,
July,1946,-0.13,,,,,,,,,,,
August,1946,-0.2,,,,,,,,,,,
September,1946,-0.08,,,,,,,,,,,
October,1946,-0.08,,,,,,,,,,,
November,1946,-0.05,,,,,,,,,,,
December,1946,-0.31,,,,,,,,,,,
January,1947,-0.07,,,,,,,,,,,
February,1947,-0.08,,,,,,,,,,,
March,1947,0.06,,,,,,,,,,,
April,1947,0.06,,,,,,,,,,,
May,1947,-0.02,,,,,,,,,,,
June,1947,-0.02,,,,,,,,,,,
July,1947,-0.04,,,,,,,,,,,
August,1947,-0.07,,,,,,,,,,,
September,1947,-0.13,,,,,,,,,,,
October,1947,0.07,,,,,,,,,,,
November,1947,0.03,,,,,,,,,,,
December,1947,-0.14,,,,,,,,,,,
January,1948,0.06,,,,,,,,,,,
February,1948,-0.15,,,,,,,,,,,
March,1948,-0.25,,,,,,,,,,,
April,1948,-0.12,,,,,,,,,,,
May,1948,-0.01,,,,,,,,,,,
June,1948,-0.05,,,,,,,,,,,
July,1948,-0.11,,,,,,,,,,,
August,1948,-0.12,,,,,,,,,,,
September,1948,-0.15,,,,,,,,,,,
October,1948,-0.05,,,,,,,,,,,
November,1948,-0.12,,,,,,,,,,,
December,1948,-0.24,,,,,,,,,,,
January,1949,0.07,,,,,,,,,,,
February,1949,-0.14,,,,,,,,,,,
March,1949,-0.02,,,,,,,,,,,
April,1949,-0.11,,,,,,,,,,,
May,1949,-0.1,,,,,,,,,,,
June,1949,-0.27,,,,,,,,,,,
July,1949,-0.13,,,,,,,,,,,
August,1949,-0.13,,,,,,,,,,,
September,1949,-0.15,,,,,,,,,,,
October,1949,-0.06,,,,,,,,,,,
November,1949,-0.1,,,,,,,,,,,
December,1949,-0.18,,,,,,,,,,,
January,1950,-0.26,,,,,,,,,,,
February,1950,-0.27,,,,,,,,,,,
March,1950,-0.08,,,,,,,,,,,
April,1950,-0.21,,,,,,,,,,,
May,1950,-0.11,,,,,,,,,,,
June,1950,-0.05,,,,,,,,,,,
July,1950,-0.09,,,,,,,,,,,
August,1950,-0.16,,,,,,,,,,,
September,1950,-0.11,,,,,,,,,,,
October,1950,-0.2,,,,,,,,,,,
November,1950,-0.34,,,,,,,,,,,
December,1950,-0.21,,,,,,,,,,,
January,1951,-0.34,,,,,,,,,,,
February,1951,-0.41,,,,,,,,,,,
March,1951,-0.2,,,,,,,,,,,
April,1951,-0.14,,,,,,,,,,,
May,1951,0,,,,,,,,,,,
June,1951,-0.06,,,,,,,,,,,
July,1951,-0.01,,,,,,,,,,,
August,1951,0.06,,,,,,,,,,,
September,1951,0.05,,,,,,,,,,,
October,1951,0.08,,,,,,,,,,,
November,1951,-0.01,,,,,,,,,,,
December,1951,0.16,,,,,,,,,,,
January,1952,0.11,,,,,,,,,,,
February,1952,0.11,,,,,,,,,,,
March,1952,-0.08,,,,,,,,,,,
April,1952,0.03,,,,,,,,,,,
May,1952,-0.03,,,,,,,,,,,
June,1952,-0.03,,,,,,,,,,,
July,1952,0.04,,,,,,,,,,,
August,1952,0.05,,,,,,,,,,,
September,1952,0.07,,,,,,,,,,,
October,1952,0,,,,,,,,,,,
November,1952,-0.13,,,,,,,,,,,
December,1952,-0.02,,,,,,,,,,,
January,1953,0.07,,,,,,,,,,,
February,1953,0.15,,,,,,,,,,,
March,1953,0.11,,,,,,,,,,,
April,1953,0.19,,,,,,,,,,,
May,1953,0.11,,,,,,,,,,,
June,1953,0.11,,,,,,,,,,,
July,1953,0.01,,,,,,,,,,,
August,1953,0.05,,,,,,,,,,,
September,1953,0.04,,,,,,,,,,,
October,1953,0.08,,,,,,,,,,,
November,1953,-0.03,,,,,,,,,,,
December,1953,0.05,,,,,,,,,,,
January,1954,-0.24,,,,,,,,,,,
February,1954,-0.1,,,,,,,,,,,
March,1954,-0.15,,,,,,,,,,,
April,1954,-0.14,,,,,,,,,,,
May,1954,-0.2,,,,,,,,,,,
June,1954,-0.18,,,,,,,,,,,
July,1954,-0.19,,,,,,,,,,,
August,1954,-0.17,,,,,,,,,,,
September,1954,-0.1,,,,,,,,,,,
October,1954,-0.02,,,,,,,,,,,
November,1954,0.08,,,,,,,,,,,
December,1954,-0.18,,,,,,,,,,,
January,1955,0.13,,,,,,,,,,,
February,1955,-0.16,,,,,,,,,,,
March,1955,-0.32,,,,,,,,,,,
April,1955,-0.22,,,,,,,,,,,
May,1955,-0.2,,,,,,,,,,,
June,1955,-0.14,,,,,,,,,,,
July,1955,-0.12,,,,,,,,,,,
August,1955,0.02,,,,,,,,,,,
September,1955,-0.11,,,,,,,,,,,
October,1955,-0.05,,,,,,,,,,,
November,1955,-0.25,,,,,,,,,,,
December,1955,-0.28,,,,,,,,,,,
January,1956,-0.13,,,,,,,,,,,
February,1956,-0.24,,,,,,,,,,,
March,1956,-0.21,,,,,,,,,,,
April,1956,-0.28,,,,,,,,,,,
May,1956,-0.29,,,,,,,,,,,
June,1956,-0.16,,,,,,,,,,,
July,1956,-0.09,,,,,,,,,,,
August,1956,-0.26,,,,,,,,,,,
September,1956,-0.19,,,,,,,,,,,
October,1956,-0.23,,,,,,,,,,,
November,1956,-0.14,,,,,,,,,,,
December,1956,-0.06,,,,,,,,,,,
January,1957,-0.09,,,,,,,,,,,
February,1957,-0.03,,,,,,,,,,,
March,1957,-0.04,,,,,,,,,,,
April,1957,0.01,,,,,,,,,,,
May,1957,0.1,,,,,,,,,,,
June,1957,0.16,,,,,,,,,,,
July,1957,0.03,,,,,,,,,,,
August,1957,0.13,,,,,,,,,,,
September,1957,0.08,,,,,,,,,,,
October,1957,0,,,,,,,,,,,
November,1957,0.07,,,,,,,,,,,
December,1957,0.15,,,,,,,,,,,
January,1958,0.39,,,,,,,,,,,
February,1958,0.21,,,,,,,,,,,
March,1958,0.09,,,,,,,,,,,
April,1958,0.01,,,,,,,,,,,
May,1958,0.05,,,,,,,,,,,
June,1958,-0.07,,,,,,,,,,,
July,1958,0.06,,,,,,,,,,,
August,1958,-0.03,,,,,,,,,,,
September,1958,-0.02,,,,,,,,,,,
October,1958,0.04,,,,,,,,,,,
November,1958,0.02,,,,,,,,,,,
December,1958,0.01,,,,,,,,,,,
January,1959,0.08,,,,,,,,,,,
February,1959,0.07,,,,,,,,,,,
March,1959,0.17,,,,,,,,,,,
April,1959,0.14,,,,,,,,,,,
May,1959,0.05,,,,,,,,,,,
June,1959,0.03,,,,,,,,,,,
July,1959,0.03,,,,,,,,,,,
August,1959,0,,,,,,,,,,,
September,1959,-0.06,,,,,,,,,,,
October,1959,-0.06,,,,,,,,,,,
November,1959,-0.08,,,,,,,,,,,
December,1959,0,,,,,,,,,,,
January,1960,0,,,,,,,,,,,
February,1960,0.15,,,,,,,,,,,
March,1960,-0.34,,,,,,,,,,,
April,1960,-0.15,,,,,,,,,,,
May,1960,-0.07,,,,,,,,,,,
June,1960,-0.04,,,,,,,,,,,
July,1960,-0.04,,,,,,,,,,,
August,1960,0.03,,,,,,,,,,,
September,1960,0.06,,,,,,,,,,,
October,1960,0.05,,,,,,,,,,,
November,1960,-0.11,,,,,,,,,,,
December,1960,0.19,,,,,,,,,,,
January,1961,0.07,,,,,,,,,,,
February,1961,0.19,,,,,,,,,,,
March,1961,0.1,,,,,,,,,,,
April,1961,0.12,,,,,,,,,,,
May,1961,0.13,,,,,,,,,,,
June,1961,0.11,,,,,,,,,,,
July,1961,0.01,,,,,,,,,,,
August,1961,0.01,,,,,,,,,,,
September,1961,0.08,,,,,,,,,,,
October,1961,0.02,,,,,,,,,,,
November,1961,0.03,,,,,,,,,,,
December,1961,-0.16,,,,,,,,,,,
January,1962,0.06,,,,,,,,,,,
February,1962,0.15,,,,,,,,,,,
March,1962,0.11,,,,,,,,,,,
April,1962,0.06,,,,,,,,,,,
May,1962,-0.07,,,,,,,,,,,
June,1962,0.05,,,,,,,,,,,
July,1962,0.02,,,,,,,,,,,
August,1962,-0.02,,,,,,,,,,,
September,1962,0.02,,,,,,,,,,,
October,1962,0.02,,,,,,,,,,,
November,1962,0.06,,,,,,,,,,,
December,1962,-0.02,,,,,,,,,,,
January,1963,-0.03,,,,,,,,,,,
February,1963,0.19,,,,,,,,,,,
March,1963,-0.13,,,,,,,,,,,
April,1963,-0.07,,,,,,,,,,,
May,1963,-0.06,,,,,,,,,,,
June,1963,0.03,,,,,,,,,,,
July,1963,0.07,,,,,,,,,,,
August,1963,0.22,,,,,,,,,,,
September,1963,0.18,,,,,,,,,,,
October,1963,0.14,,,,,,,,,,,
November,1963,0.14,,,,,,,,,,,
December,1963,-0.03,,,,,,,,,,,
January,1964,-0.09,,,,,,,,,,,
February,1964,-0.1,,,,,,,,,,,
March,1964,-0.22,,,,,,,,,,,
April,1964,-0.32,,,,,,,,,,,
May,1964,-0.25,,,,,,,,,,,
June,1964,-0.04,,,,,,,,,,,
July,1964,-0.05,,,,,,,,,,,
August,1964,-0.21,,,,,,,,,,,
September,1964,-0.3,,,,,,,,,,,
October,1964,-0.31,,,,,,,,,,,
November,1964,-0.22,,,,,,,,,,,
December,1964,-0.29,,,,,,,,,,,
January,1965,-0.08,,,,,,,,,,,
February,1965,-0.17,,,,,,,,,,,
March,1965,-0.12,,,,,,,,,,,
April,1965,-0.2,,,,,,,,,,,
May,1965,-0.11,,,,,,,,,,,
June,1965,-0.08,,,,,,,,,,,
July,1965,-0.14,,,,,,,,,,,
August,1965,-0.05,,,,,,,,,,,
September,1965,-0.14,,,,,,,,,,,
October,1965,-0.06,,,,,,,,,,,
November,1965,-0.06,,,,,,,,,,,
December,1965,-0.08,,,,,,,,,,,
January,1966,-0.19,,,,,,,,,,,
February,1966,-0.05,,,,,,,,,,,
March,1966,0.03,,,,,,,,,,,
April,1966,-0.14,,,,,,,,,,,
May,1966,-0.12,,,,,,,,,,,
June,1966,0,,,,,,,,,,,
July,1966,0.08,,,,,,,,,,,
August,1966,-0.08,,,,,,,,,,,
September,1966,-0.03,,,,,,,,,,,
October,1966,-0.16,,,,,,,,,,,
November,1966,-0.01,,,,,,,,,,,
December,1966,-0.03,,,,,,,,,,,
January,1967,-0.08,,,,,,,,,,,
February,1967,-0.21,,,,,,,,,,,
March,1967,0.05,,,,,,,,,,,
April,1967,-0.04,,,,,,,,,,,
May,1967,0.11,,,,,,,,,,,
June,1967,-0.08,,,,,,,,,,,
July,1967,0.03,,,,,,,,,,,
August,1967,-0.01,,,,,,,,,,,
September,1967,-0.05,,,,,,,,,,,
October,1967,0.1,,,,,,,,,,,
November,1967,-0.04,,,,,,,,,,,
December,1967,-0.05,,,,,,,,,,,
January,1968,-0.26,,,,,,,,,,,
February,1968,-0.15,,,,,,,,,,,
March,1968,0.2,,,,,,,,,,,
April,1968,-0.06,,,,,,,,,,,
May,1968,-0.13,,,,,,,,,,,
June,1968,-0.08,,,,,,,,,,,
July,1968,-0.13,,,,,,,,,,,
August,1968,-0.08,,,,,,,,,,,
September,1968,-0.17,,,,,,,,,,,
October,1968,0.09,,,,,,,,,,,
November,1968,-0.05,,,,,,,,,,,
December,1968,-0.14,,,,,,,,,,,
January,1969,-0.11,,,,,,,,,,,
February,1969,-0.17,,,,,,,,,,,
March,1969,0.01,,,,,,,,,,,
April,1969,0.17,,,,,,,,,,,
May,1969,0.18,,,,,,,,,,,
June,1969,0.04,,,,,,,,,,,
July,1969,-0.04,,,,,,,,,,,
August,1969,0.03,,,,,,,,,,,
September,1969,0.08,,,,,,,,,,,
October,1969,0.1,,,,,,,,,,,
November,1969,0.12,,,,,,,,,,,
December,1969,0.24,,,,,,,,,,,
January,1970,0.08,,,,,,,,,,,
February,1970,0.22,,,,,,,,,,,
March,1970,0.06,,,,,,,,,,,
April,1970,0.05,,,,,,,,,,,
May,1970,-0.04,,,,,,,,,,,
June,1970,-0.03,,,,,,,,,,,
July,1970,0.01,,,,,,,,,,,
August,1970,-0.1,,,,,,,,,,,
September,1970,0.11,,,,,,,,,,,
October,1970,0.03,,,,,,,,,,,
November,1970,0.02,,,,,,,,,,,
December,1970,-0.12,,,,,,,,,,,
January,1971,-0.03,,,,,,,,,,,
February,1971,-0.16,,,,,,,,,,,
March,1971,-0.18,,,,,,,,,,,
April,1971,-0.07,,,,,,,,,,,
May,1971,-0.05,,,,,,,,,,,
June,1971,-0.17,,,,,,,,,,,
July,1971,-0.08,,,,,,,,,,,
August,1971,-0.01,,,,,,,,,,,
September,1971,-0.06,,,,,,,,,,,
October,1971,-0.04,,,,,,,,,,,
November,1971,-0.07,,,,,,,,,,,
December,1971,-0.08,,,,,,,,,,,
January,1972,-0.22,,,,,,,,,,,
February,1972,-0.18,,,,,,,,,,,
March,1972,0.02,,,,,,,,,,,
April,1972,0.01,,,,,,,,,,,
May,1972,-0.03,,,,,,,,,,,
June,1972,0.04,,,,,,,,,,,
